WiFi	LTE-U
3.0	2.75
4.5	2.7
2.6	3.0
3.25	3.25
2.6	2.6
2.6	4.333333333333333
4.0	3.25
2.1666666666666665	3.25
3.25	4.333333333333333
2.7	4.333333333333333
3.25	3.0
2.25	3.5
2.888888888888889	3.0
3.5714285714285716	4.333333333333333
3.25	2.25
4.5	3.0
2.6	3.7142857142857144
4.0	2.7
4.5	3.0
4.5	2.7
2.25	3.25
3.5	2.25
3.375	4.333333333333333
3.25	3.25
2.7	2.7
3.375	3.25
2.888888888888889	3.375
3.25	3.142857142857143
3.25	3.25
3.0	3.5
3.0	3.25
3.0	4.5
3.5	3.25
2.6	3.5
4.333333333333333	3.25
3.0	3.5
4.0	3.0
2.6	2.6
3.375	2.25
3.25	2.25
3.0	4.4
2.6	3.25
2.6	3.25
2.6	3.0
3.25	2.25
2.6	4.333333333333333
4.333333333333333	3.25
3.6	3.75
2.7	2.6
3.0	4.333333333333333
3.25	3.6666666666666665
3.375	3.375
3.25	3.0
3.25	3.0
3.25	6.5
2.6	7.5
3.25	3.0
3.0	3.142857142857143
3.0	3.25
3.7142857142857144	3.0
3.25	3.0
3.375	3.375
2.6	2.25
3.25	3.142857142857143
3.25	2.7
4.0	3.375
2.25	2.7
3.25	2.2
3.0	3.25
2.7	3.25
5.2	2.2
3.0	4.0
3.5714285714285716	4.333333333333333
3.0	2.6
2.7	3.375
2.25	3.0
2.7	3.25
2.7	3.5714285714285716
5.2	2.25
3.5714285714285716	2.75
2.25	3.125
3.25	3.5714285714285716
3.5714285714285716	3.25
3.25	2.6
3.25	2.6
3.0	4.0
4.333333333333333	2.1666666666666665
2.25	3.0
2.6	3.7142857142857144
3.25	3.0
3.25	2.6
3.25	3.25
2.1666666666666665	3.125
2.25	2.7
3.25	3.25
4.0	3.0
2.7	3.25
3.375	2.7
2.25	3.5
4.333333333333333	2.7
3.125	3.25
3.25	4.333333333333333
3.25	3.25
3.25	2.4444444444444446
2.7	2.6
3.25	2.7
2.25	2.25
3.25	3.25
3.25	3.25
3.25	3.0
2.6	3.0
3.25	3.0
4.333333333333333	3.0
2.7	2.7
3.25	3.0
3.25	2.25
3.0	2.2
2.6	2.25
3.375	3.25
3.25	2.6
2.25	3.0
3.25	3.25
3.25	3.25
3.0	3.5
