WiFi	LTE-U	WiFi_MIN	LTE-U_MIN
8.666666666666666	6.1944614368107755	8.666666666666666	2.2
13.5	6.75	13.5	6.75
9.0	10.217707802071809	9.0	4.714285714285714
13.0	8.66061640264569	13.0	5.5
9.110019048991894	9.0	8.666666666666666	9.0
6.75	8.997122024887133	6.75	7.833333333333333
12.012894235804975	6.75	6.75	6.75
10.987395199547528	6.5	6.75	6.5
13.5	6.75	13.5	6.75
7.705580324440115	9.178817274478924	6.5	8.666666666666666
7.698217354053987	9.0	6.5	9.0
6.5	9.190993780116838	6.5	8.666666666666666
9.0	6.75	9.0	6.75
13.0	9.0	13.0	9.0
9.0	7.65403014941015	9.0	6.625
9.0	8.666666666666666	9.0	8.666666666666666
6.75	10.206004786230526	6.75	6.75
13.5	9.0	13.5	9.0
6.75	10.706009164193043	6.75	8.666666666666666
9.0	7.729300769080308	9.0	7.571428571428571
6.701139189939563	6.5	5.2	6.5
9.022539694479587	12.288856908387109	8.666666666666666	5.2
9.0	6.75	9.0	6.75
9.0	9.701536283467846	9.0	6.75
13.5	12.136281358949347	13.5	6.75
13.5	10.553766329025581	13.5	9.4
8.666666666666666	6.75	8.666666666666666	6.75
9.0	9.0	9.0	9.0
11.770019976010417	13.5	6.75	13.5
9.0	7.74555031115042	9.0	6.75
6.75	11.346684025776092	6.75	8.666666666666666
6.75	8.666666666666666	6.75	8.666666666666666
10.288202201319052	11.742093114182836	8.666666666666666	8.666666666666666
9.0	9.0	9.0	9.0
11.036307569827859	8.666666666666666	8.666666666666666	8.666666666666666
13.5	6.889040222373893	13.5	6.625
6.75	10.880341080637722	6.75	8.666666666666666
9.0	10.418426429077266	9.0	9.4
9.0	9.124134895543362	9.0	6.5
8.80785436895377	7.452903171240514	6.75	6.625
9.0	6.814853491735407	9.0	6.5
6.75	11.29366003145175	6.75	9.4
10.727724968890685	12.956062745537176	8.666666666666666	6.75
8.666666666666666	8.666666666666666	8.666666666666666	8.666666666666666
8.992678662179204	10.472856957129503	8.666666666666666	8.666666666666666
