WiFi	LTE-U	WiFi_MIN	LTE-U_MIN
4.5	6.75	4.5	6.75
5.2	4.5	5.2	4.5
9.0	7.106206010281609	9.0	6.625
6.5	7.495394188158475	6.5	5.5
6.5	6.75	6.5	6.75
4.333333333333333	6.47233476090457	4.333333333333333	4.5
4.5	5.2	4.5	5.2
4.5	6.5	4.5	6.5
5.314429434485598	4.825775973096579	5.2	4.818181818181818
4.5	6.75	4.5	6.75
5.2	5.797066915608932	5.2	4.818181818181818
4.5	6.607752757229794	4.5	5.5
4.797198169953352	5.249592584120248	4.5	4.818181818181818
5.22457233942749	6.368964337718041	5.2	5.5
5.174644913176207	5.556616922032759	4.5	4.818181818181818
5.2	4.5	5.2	4.5
6.75	5.368073801978952	6.75	4.818181818181818
6.5	5.478828757239691	6.5	5.2
5.920241444129461	5.301491680272765	4.5	5.2
6.5	5.68581042236446	6.5	4.818181818181818
6.722537400907868	4.5	4.5	4.5
5.855810958670461	5.459971378689842	5.2	4.333333333333333
5.194364278881955	4.5	4.5	4.5
5.952488299550276	6.1583549826683965	5.2	5.3
5.796568107748046	8.627792329883537	5.2	4.5
6.5	7.605324440699473	6.5	5.5
7.161395133808381	5.2	4.5	5.2
4.5	6.5	4.5	6.5
5.2	5.260091211265477	5.2	4.5
5.215812307345893	5.2	4.333333333333333	5.2
5.655529504256894	5.9860389181179485	4.5	4.5
4.5	5.381374247653301	4.5	5.2
5.794045757835552	6.5	4.5	6.5
6.5	4.5	6.5	4.5
6.5	3.375	6.5	3.375
6.5	6.542606950762947	6.5	5.888888888888889
6.75	6.778329069191357	6.75	5.5
5.2	6.120588165428205	5.2	5.5
5.465289237747137	6.5	4.5	6.5
5.851584347173883	5.721574017485472	4.5	5.2
6.5	4.808884911139028	6.5	3.375
6.5	6.9824344181879665	6.5	5.5
4.5	6.392279033530625	4.5	4.5
4.5	4.5	4.5	4.5
4.5	6.51082245615396	4.5	4.5
5.985499187287093	4.5	4.5	4.5
5.244244802976088	4.5	3.7142857142857144	4.5
4.333333333333333	7.172356605447297	4.333333333333333	5.888888888888889
4.556749160182632	5.2	4.5	5.2
4.5	5.2	4.5	5.2
4.5	4.5	4.5	4.5
4.5	6.5	4.5	6.5
4.5	5.259301183887292	4.5	4.4
4.333333333333333	5.209210973213372	4.333333333333333	4.5
4.770292142825711	7.741736062790826	4.5	6.625
6.5	5.462444198372696	6.5	4.4
5.83889038282725	7.1371015457977505	4.5	6.75
6.5	5.2	6.5	5.2
4.5	5.5	4.5	5.5
4.333333333333333	6.5	4.333333333333333	6.5
4.343192046965254	6.5	4.333333333333333	6.5
7.2511864591027875	9.0	4.5	9.0
4.333333333333333	6.20253310003203	4.333333333333333	4.5
5.2	4.5	5.2	4.5
5.2	6.467175693169149	5.2	5.5
6.5	6.809985311477632	6.5	5.5
3.6396899713093194	7.571428571428572	3.25	7.571428571428571
6.75	5.2	6.75	5.2
3.0	6.751678513941	3.0	4.5
3.7431146044050005	5.2	3.25	5.2
6.75	5.022280861042438	6.75	4.5
9.0	4.5	9.0	4.5
4.735623455756605	8.272540001858038	4.333333333333333	6.625
6.5	9.0	6.5	9.0
6.5	6.5	6.5	6.5
3.5714285714285716	5.6584654872626095	3.5714285714285716	4.4
9.0	4.333333333333333	9.0	4.333333333333333
5.2	6.75	5.2	6.75
4.812129276280025	5.443841326622756	4.5	4.4
6.5	4.5	6.5	4.5
7.212940948094687	8.13045680311023	4.5	6.625
6.6867672649514445	7.167995401800716	4.5	4.714285714285714
5.229084224271838	7.339876342512706	4.5	6.625
5.521944608098175	9.0	5.2	9.0
4.524213474130813	9.0	4.5	9.0
6.172419395457485	5.2	4.5	5.2
4.333333333333333	7.422596632614033	4.333333333333333	6.625
6.457544520758601	4.333333333333333	4.5	4.333333333333333
6.5	6.450032313629588	6.5	4.5
5.713688816510227	5.200000000000001	5.2	5.2
6.5	6.5	6.5	6.5
5.2	6.766838684088882	5.2	5.5
4.440850117171776	4.333333333333333	3.25	4.333333333333333
4.862820752900891	6.5	4.5	6.5
6.350116832809423	6.50837409339908	4.5	4.5
6.355804067758488	7.7937155928413135	4.5	6.625
4.5	7.134422404598325	4.5	4.5
4.5	4.333333333333333	4.5	4.333333333333333
6.75	5.813670887445208	6.75	4.333333333333333
6.9830708388357206	5.515563864685658	4.5	4.5
6.654756905955278	5.2	5.2	5.2
6.313129780501194	6.5	4.333333333333333	6.5
3.25	5.2	3.25	5.2
5.9613577591668	7.410732345579315	4.5	5.3
3.5	5.165072694590936	3.5	4.4
3.375	5.809419389029315	3.375	4.5
4.0	5.0391822659763985	4.0	4.5
6.6920887279692725	3.925628617107873	5.2	3.0
7.428358915930875	7.332112618939572	4.5	5.3
6.5	6.5	6.5	6.5
4.512954220307034	5.471891433840459	4.5	4.4
6.5	3.1670339218405874	6.5	3.0
5.2	4.333333333333333	5.2	4.333333333333333
6.5	4.725466644476552	6.5	4.5
4.5	5.188635291141276	4.5	4.818181818181818
6.5	4.716462673087666	6.5	4.714285714285714
5.735867768981223	6.5	5.2	6.5
4.5	5.463934210335111	4.5	4.818181818181818
5.3363291729191715	4.5	5.2	4.5
4.5	5.515242244054571	4.5	5.5
6.5	5.2	6.5	5.2
5.192033812363005	4.5	4.5	4.5
6.5	5.068024647119393	6.5	4.714285714285714
3.407941611197526	5.800851428604406	3.25	5.2
9.0	6.309384127813612	9.0	4.5
4.5	4.5	4.5	4.5
5.6557157588475135	5.024061531166993	4.5	4.5
5.2	6.360953307701766	5.2	4.5
5.2	6.614973139004949	5.2	4.5
7.247547521509108	5.092704859432613	4.5	3.0
4.5	6.682669171659804	4.5	4.5
4.78911720964744	5.567248851454278	4.5	5.2
4.333333333333333	6.385087123174534	4.333333333333333	4.818181818181818
4.333333333333333	6.5	4.333333333333333	6.5
5.2	6.136451151551216	5.2	4.333333333333333
4.5	5.2	4.5	5.2
5.2	6.977398641963129	5.2	4.818181818181818
4.5	5.2	4.5	5.2
8.57490436111414	6.5	4.5	6.5
5.536480222943111	9.0	3.25	9.0
6.5	4.5	6.5	4.5
6.5	7.453749647747902	6.5	4.818181818181818
4.79605833445046	5.617687964021995	3.25	4.714285714285714
6.75	5.918611795492515	6.75	5.2
6.5	5.500536385778498	6.5	4.714285714285714
5.2	6.781098098828487	5.2	4.5
5.895380866437578	5.88106208618892	5.2	5.2
6.424247337388601	8.661913739830224	4.5	4.5
