0,-1,1,9,10,2,-1,-1,-1,-1,-1,0,8,16,17,25,26,18,19,11,3,-1,-1,-1,-1
1,-1,3,11,12,4,-1,-1,-1,-1,-1,2,10,18,19,27,28,20,21,13,5,-1,-1,-1,-1
2,-1,5,13,14,6,-1,-1,-1,-1,-1,4,12,20,21,29,30,22,23,15,7,-1,-1,-1,-1
3,0,8,16,17,9,1,-1,-1,-1,-1,-1,-1,-1,24,32,33,25,26,18,10,2,-1,-1,-1
4,2,10,18,19,11,3,-1,-1,-1,1,9,17,25,26,34,35,27,28,20,12,4,-1,-1,-1
5,4,12,20,21,13,5,-1,-1,-1,3,11,19,27,28,36,37,29,30,22,14,6,-1,-1,-1
6,6,14,22,23,15,7,-1,-1,-1,5,13,21,29,30,38,39,31,-1,-1,-1,-1,-1,-1,-1
7,9,17,25,26,18,10,-1,1,0,8,16,24,32,33,41,42,34,35,27,19,11,3,2,-1
8,11,19,27,28,20,12,-1,3,2,10,18,26,34,35,43,44,36,37,29,21,13,5,4,-1
9,13,21,29,30,22,14,-1,5,4,12,20,28,36,37,45,46,38,39,31,23,15,7,6,-1
10,16,24,32,33,25,17,0,8,-1,-1,-1,-1,-1,40,48,49,41,42,34,26,18,10,9,1
11,18,26,34,35,27,19,2,10,9,17,25,33,41,42,50,51,43,44,36,28,20,12,11,3
12,20,28,36,37,29,21,4,12,11,19,27,35,43,44,52,53,45,46,38,30,22,14,13,5
13,22,30,38,39,31,23,6,14,13,21,29,37,45,46,54,55,47,-1,-1,-1,-1,-1,-1,-1
14,25,33,41,42,34,26,9,17,16,24,32,40,48,49,57,58,50,51,43,35,27,19,18,10
15,27,35,43,44,36,28,11,19,18,26,34,42,50,51,59,60,52,53,45,37,29,21,20,12
16,29,37,45,46,38,30,13,21,20,28,36,44,52,53,61,62,54,55,47,39,31,23,22,14
17,32,40,48,49,41,33,16,24,-1,-1,-1,-1,-1,56,64,65,57,58,50,42,34,26,25,17
18,34,42,50,51,43,35,18,26,25,33,41,49,57,58,66,67,59,60,52,44,36,28,27,19
19,36,44,52,53,45,37,20,28,27,35,43,51,59,60,68,69,61,62,54,46,38,30,29,21
20,38,46,54,55,47,39,22,30,29,37,45,53,61,62,70,71,63,-1,-1,-1,-1,-1,31,23
21,41,49,57,58,50,42,25,33,32,40,48,56,64,65,-1,-1,66,67,59,51,43,35,34,26
22,43,51,59,60,52,44,27,35,34,42,50,58,66,67,-1,-1,68,69,61,53,45,37,36,28
23,45,53,61,62,54,46,29,37,36,44,52,60,68,69,-1,-1,70,71,63,55,47,39,38,30
24,48,56,64,65,57,49,32,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,58,50,42,41,33
25,50,58,66,67,59,51,34,42,41,49,57,65,-1,-1,-1,-1,-1,-1,68,60,52,44,43,35
26,52,60,68,69,61,53,36,44,43,51,59,67,-1,-1,-1,-1,-1,-1,70,62,54,46,45,37
27,54,62,70,71,63,55,38,46,45,53,61,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,39
28,57,65,-1,-1,66,58,41,49,48,56,64,-1,-1,-1,-1,-1,-1,-1,-1,67,59,51,50,42
29,59,67,-1,-1,68,60,43,51,50,58,66,-1,-1,-1,-1,-1,-1,-1,-1,69,61,53,52,44
30,61,69,-1,-1,70,62,45,53,52,60,68,-1,-1,-1,-1,-1,-1,-1,-1,71,63,55,54,46
